name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications
Eluxadolina,Agonista Receptor Opioide mu/kappa Antagonista delta,75-100 mg,Dos veces al día con alimentos,200 mg/día,Oral,Síndrome Intestino Irritable con diarrea,"Estreñimiento, náuseas, dolor abdominal, pancreatitis, espasmo esfínter Oddi","Hipersensibilidad, antecedentes obstrucción biliar/pancreatitis/alcoholismo/enf hepática severa, estreñimiento crónico/severo, sin vesícula biliar"
Elvitegravir,Antirretroviral,150 mg,1 vez/día,150 mg/día,Oral,Infección por VIH-1,"Diarrea, náuseas, cefalea, fatiga, rash, sueños anormales, aumento creatinina sérica","Hipersensibilidad, coadministración con inductores potentes UGT1A1/CYP3A"
Elvitegravir,Inhibidor de la Integrasa,150 mg,Una vez al día,150 mg/día,Oral,VIH,"Náuseas, diarrea",Hipersensibilidad
Emapalumab,Anticuerpo Monoclonal Anti-IFNγ,Inicial: 1 mg/kg,Infusión IV dos veces por semana,10 mg/kg/dosis,IV,Linfohistiocitosis Hemofagocítica primaria R/R,"Infecciones, reacciones infusión, fiebre, hipertensión, citopenias",Hipersensibilidad
Emapalumab-lzsg,Anticuerpo Monoclonal,1 mg/kg,Dos veces por semana,Sin máximo fijo,IV,Linfohistiocitosis hemofagocítica,Infecciones,Hipersensibilidad
Emicizumab,Anticuerpo Monoclonal Biespecífico,Carga: 3 mg/kg semanal x 4 sem; Mantenimiento: 1.5 mg/kg semanal o 3 mg/kg c/2sem o 6 mg/kg c/4sem,"Semanal, cada 2 semanas o cada 4 semanas según pauta",6 mg/kg,Subcutáneo,Profilaxis Hemofilia A con/sin inhibidores FVIII,"Reacción sitio, cefalea, artralgia, pirexia, diarrea, microangiopatía trombótica (con CCPa altas dosis), trombosis (con CCPa altas dosis)",Hipersensibilidad
Emicizumab-kxwh,Anticuerpo Monoclonal,3 mg/kg,Semanalmente,Sin máximo fijo,Subcutáneo,Hemofilia A,Reacción en el sitio de,Hipersensibilidad
Empagliflozina,Inhibidor SGLT2,10-25 mg,Una vez al día,25 mg/día,Oral,Diabetes Mellitus tipo 2; Insuficiencia Cardíaca; Enfermedad Renal Crónica,"Infecciones genitourinarias, poliuria, depleción volumen, cetoacidosis diabética, ITU","Hipersensibilidad, I.R. grave, diálisis"
Empagliflozina,Inhibidor SGLT2,10 mg,Una vez al día,25 mg/día,Oral,Diabetes tipo 2,"ITU (Infección del Tracto Urinario), deshidratación",Insuficiencia renal severa
Emtricitabina,Antirretroviral,200 mg cápsula o 240 mg solución oral,1 vez/día,240 mg/día,Oral,Infección por VIH-1; Infección crónica Hepatitis B,"Cefalea, diarrea, náuseas, astenia, mareo, insomnio, rash, hiperpigmentación piel, acidosis láctica/esteatosis hepática, exacerbación VHB post-tto",Hipersensibilidad
Enalapril Maleato,Inhibidor ECA,5 mg,Una vez al día,40 mg/día,Oral,Hipertensión,"Tos, hipotensión",Embarazo
Enalapril/Hidroclorotiazida,IECA/Diurético,Enalapril 5-20 mg / HCTZ 12.5-25 mg,Una vez al día,Enalapril 20 mg / HCTZ 25 mg día,Oral,Hipertensión arterial,"Tos seca, mareo, cefalea, fatiga, hipotensión, hipokalemia, hiperuricemia, angioedema","Hipersensibilidad a IECA/tiazidas/sulfonamidas, antecedentes angioedema, anuria, embarazo, uso concomitante aliskireno en diabéticos/I.R."
Enasidenib,Inhibidor IDH2 mutado,100 mg,Una vez al día,100 mg/día,Oral,Leucemia Mieloide Aguda R/R con mutación IDH2,"Náuseas, vómitos, diarrea, disminución apetito, hiperbilirrubinemia, síndrome diferenciación, leucocitosis, síndrome lisis tumoral",Hipersensibilidad
Enasidenib Mesilato,Inhibidor IDO,100 mg,Una vez al día,100 mg/día,Oral,Leucemia,"Náuseas, síndrome de diferenciación",Hipersensibilidad
Encorafenib,Inhibidor BRAF,Melanoma/CCR: 450 mg; CPNM: 300 mg,Una vez al día,450 mg/día,Oral,Melanoma BRAF V600 mutado; Cáncer Colorrectal metastásico BRAF V600E mutado; CPNM BRAF V600E mutado,"Fatiga, náuseas, diarrea, vómitos, dolor abdominal, rash, artralgia, mialgia, riesgo carcinoma cutáneo, uveítis, prolongación QT",Hipersensibilidad
Encorafenib Cápsula,Inhibidor BRAF,450 mg,Una vez al día,450 mg/día,Oral,Melanoma,"Fatiga, erupción cutánea",Enfermedad hepática severa
Enflurano,Anestésico Inhalado,Inducción: hasta 4.5%; Mantenimiento: 0.5-3%,Inhalación continua durante anestesia,4.50%,Inhalación,Inducción y Mantenimiento anestesia general,"Depresión respiratoria/cardiovascular, hipotensión, arritmias, escalofríos postoperatorios, náuseas, vómitos, hepatotoxicidad, convulsiones, hipertermia maligna","Hipersensibilidad a anestésicos halogenados, antecedentes hipertermia maligna, disfunción hepática post-anestesia halogenada"
Enflurano Inhalación,Anestésico Inhalado,1-3%,Continuo,Sin máximo fijo,Inhalatoria,Anestesia general,"Náuseas, convulsiones",Riesgo de hipertermia maligna
Enfuvirtida,Antirretroviral Inhibidor Fusión,Adultos: 90 mg; Niños: 2 mg/kg,Dos veces al día,180 mg/día,Subcutáneo,Infección por VIH-1 multirresistente,"Reacciones sitio severas, neumonía bacteriana, linfadenopatía, eosinofilia periférica",Hipersensibilidad
Enfuvirtida,Antirretroviral,90 mg,Dos veces al día,180 mg/día,Subcutáneo,VIH,Reacción en el sitio de,Hipersensibilidad
Enoxaparina,Anticoagulante,Profilaxis TEV: 20-40 mg SC día; Tto TVP/EP: 1 mg/kg SC 2 veces/día o 1.5 mg/kg SC día,día o 2 veces/día según indicación,1.5 mg/kg/día,"Subcutánea, IV","Profilaxis TEV, Tratamiento TVP y EP, Síndrome Coronario Agudo, Prevención coagulación circuito hemodiálisis","Sangrado, trombocitopenia, anemia, hematoma/dolor sitio, elevación transaminasas, reacciones hipersensibilidad","Hipersensibilidad a heparinas, sangrado activo mayor, trombocitopenia inducida por heparina previa, endocarditis bacteriana aguda, I.R. grave"
Enoxaparina,Anticoagulante,"30mg Bolo
Continuar 1mg/kg SC",Bolo,100mg en 2 dosis,IV,Fibrinolisis en Sindrome Coronario Agudo,"Sangrado, trombocitopenia, anemia, hematoma/dolor sitio, elevación transaminasas, reacciones hipersensibilidad",">75 años, 0.75mg/kg SC cada 12 horas
CrCl < 30ml/min : 1mg/kg - 24 horas"
Enoxaparina Sódica,Anticoagulante,Profilaxis: 20-40 mg QD; Tto: 1 mg/kg 2 veces/día o 1.5 mg/kg QD,QD o 2 veces/día según indicación,1.5 mg/kg/día,"Subcutánea, IV",Profilaxis/Tto TEV; SCA; Prevención coagulación hemodiálisis,"Sangrado, trombocitopenia, anemia, hematoma/dolor sitio, elevación transaminasas","Hipersensibilidad a heparinas, sangrado activo mayor, TIH previa, I.R. grave"
Entacapona,Inhibidor COMT,200 mg,Con cada dosis de levodopa,1600 mg/día,Oral,Enfermedad de Parkinson con fluctuaciones motoras,"Discinesia, boca seca, coloración orina, mareo, fatiga, insomnio","Hipersensibilidad, I.H. grave, feocromocitoma, antecedentes SNM o rabdomiólisis, uso concomitante IMAO no selectivos"
Entecavir,Antirretroviral,Naive: 0.5 mg; Resistente a lamivudina: 1 mg,1 vez/día,1 mg/día,Oral,Infección crónica Hepatitis B,"Cefalea, acidosis láctica, exacerbación hepatitis post-tratamiento",Hipersensibilidad
Entecavir,Antiviral,0.5 mg,Una vez al día,1 mg/día,Oral,Hepatitis B,"Cefalea, acidosis láctica",Insuficiencia renal severa
Entrectinib,Inhibidor Tirosina Quinasa,Adultos: 600 mg; Niños ≥12a: 300 mg/m²,Una vez al día,600 mg/día,Oral,Tumores sólidos fusión NTRK; CPNM ROS1-positivo,"Fatiga, edema, mareo, disnea, trastornos cognitivos/SNC, aumento peso, diarrea, náuseas, mialgia, visión borrosa, fracturas, hepatotoxicidad, prolongación QT","Hipersensibilidad, embarazo, lactancia"
Entrectinib Cápsula,Inhibidor Tirosina Quinasa,600 mg,Una vez al día,600 mg/día,Oral,Cáncer de pulmón,"Fatiga, edema",Enfermedad hepática severa
Enzalutamida,Antiandrógeno,160 mg,Una vez al día,160 mg/día,Oral,Cáncer próstata resistente a castración; Cáncer próstata sensible a castración metastásico/alto riesgo,"Fatiga, astenia, sofocos, HTA, cefalea, caídas, riesgo convulsiones, síndrome encefalopatía posterior reversible","Hipersensibilidad, embarazo"
Enzalutamida Cápsula,Antiandrógeno,160 mg,Una vez al día,160 mg/día,Oral,Cáncer de próstata,"Fatiga, convulsiones",Hipersensibilidad
Epinastina,Antihistamínico,Oftálmico: 1 gota solución 0.05%; Oral: 10-20 mg,Oftálmico: Dos veces al día; Oral: Una vez al día,Oral: 20 mg/día; Oftálmico: 2 gotas/ojo/día,"Oftálmico, Oral","Conjuntivitis alérgica; Rinitis alérgica, Urticaria","Oftálmico: Irritación ocular, sensación quemazón; Oral: Cefalea, somnolencia",Hipersensibilidad
Epinastina Clorhidrato,Antihistamínico,1 gota (0.05%),Dos veces al día,2 gotas/ojo/día,Oftálmico,Alergias,Irritación ocular,Hipersensibilidad
Epinefrina,Agente Adrenérgico,Anafilaxia: 0.3-0.5 mg IM/SC; Paro cardíaco: 1 mg IV/IO; Asma: 0.3-0.5 mg SC; Infusión: 0.01-1 mcg/kg/min IV,Repetir según necesidad y respuesta,Anafilaxia: 0.5 mg/dosis IM,"IM, SC, IV, IO, Inhalación","Anafilaxia, Paro cardíaco, Asma aguda severa, Shock, Bradicardia sintomática","Taquicardia, HTA, palpitaciones, ansiedad, temblor, cefalea, arritmias, isquemia miocárdica, necrosis tisular extravasación","Shock no anafiláctico, glaucoma ángulo estrecho, anestesia dedos/orejas/nariz/pene, cardiopatía dilatada, insuficiencia coronaria"
Epinefrina,Agente Adrenérgico,0.3 mg,Según necesidad,Sin máximo fijo,IM,Anafilaxia,"Taquicardia, ansiedad",Feocromocitoma
Epirrubicina Clorhidrato,Antraciclina,60-120 mg/m²,Cada 3 semanas,Sin máximo fijo,IV,Cáncer de mama,"Cardiotoxicidad, náuseas",Insuficiencia cardíaca severa
Epirubicina,Antraciclina,60-120 mg/m² según régimen,Ciclos IV cada 3-4 semanas,Dosis acumulada máxima: 900 mg/m²,"IV, Intravesical","Cáncer mama, ovario, estómago, pulmón, linfoma, leucemia, sarcoma; Cáncer vejiga superficial","Mielosupresión, cardiotoxicidad, alopecia, náuseas, vómitos, mucositis, coloración roja orina, cistitis química","Hipersensibilidad, mielosupresión persistente, IC grave, IAM reciente, arritmias graves, I.H. grave, tto previo dosis máximas antraciclinas"
Eplerenona,Antagonista Aldosterona,25-50 mg,1 vez/día,50 mg/día,Oral,Insuficiencia cardíaca post-IAM; Insuficiencia Cardíaca crónica NYHA II,"Hiperkalemia, hipotensión, diarrea, tos, aumento creatinina","Hipersensibilidad, Hiperkalemia inicial >5.0, I.R. grave, I.H. grave, uso concomitante diuréticos ahorradores K+/suplementos K+/inhibidores potentes CYP3A4"
Epoetina Alfa,Estimulante Eritropoyesis,Inicial: 50-150 UI/kg,1-3 veces/semana,Ajustar dosis según respuesta Hb,"IV, SC",Anemia asociada a ERC; Anemia en pacientes oncológicos con quimio; Reducción transfusiones cirugía,"Hipertensión arterial, eventos trombóticos/tromboembólicos, síntomas gripales, artralgia, rash, reacción sitio, aplasia pura serie roja","Hipersensibilidad, HTA no controlada, aplasia pura serie roja post-tto ESA"
Epoprostenol,Prostaciclina,Inicial: 2 ng/kg/min; Titular según respuesta,Infusión IV continua,Dosis titulada a tolerancia/efecto,IV,Hipertensión arterial pulmonar,"Cefalea, flushing, hipotensión, dolor mandíbula, náuseas, vómitos, diarrea, dolor abdominal, complicaciones catéter, síncope","Hipersensibilidad, IC de2 veces/díaa a disfunción sistólica VI"
Epoprostenol Sódico,Prostaciclina,2-4 ng/kg/min,Infusión continua,Sin máximo fijo,IV,Hipertensión pulmonar,"Cefalea, hipotensión",Hipersensibilidad
Eprosartán,ARA-II,600-800 mg,1 vez/día,800 mg/día,Oral,Hipertensión arterial esencial,"Hipotensión, rash, astenia","Hipersensibilidad, embarazo, I.H. grave, estenosis bilateral arteria renal, uso concomitante aliskireno en diabéticos/I.R."
Eptifibatida,Antiplaquetario,Bolo IV: 180 mcg/kg; Infusión: 2 mcg/kg/min,Bolo inicial seguido de infusión continua,Bolo 180 mcg/kg; Infusión 2 mcg/kg/min,IV,Síndrome Coronario Agudo; Intervención Coronaria Percutánea,"Sangrado, trombocitopenia, hipotensión, reacción sitio","Hipersensibilidad, sangrado activo/reciente significativo, ACV reciente, HTA severa no controlada, I.R. grave/diálisis, trombocitopenia"
Eptifibatida,Antiagregante plaquetario,180 mcg/kg,"Bolo, luego 2 mcg/kg/min",Sin máximo fijo,IV,Prevención de sangrado,Sangrado,Sangrado activo
Eravaciclina,Antibiótico Tetraciclina,1 mg/kg,Cada 12 horas,1 mg/kg cada 12h,IV,Infecciones intraabdominales complicadas,"Reacciones sitio infusión, náuseas, vómitos, diarrea, cefalea",Hipersensibilidad a tetraciclinas
Eravaciclina,Antibiótico,1 mg/kg,Cada 12 horas,Sin máximo fijo,IV,Infecciones bacterianas,"Náuseas, reacción a la infusión",Hipersensibilidad
Erdafitinib,Inhibidor Tirosina Quinasa,Inicial: 8 mg; Puede ↑ a 9 mg si tolerado y P <2.2 mg/dL,Una vez al día,9 mg/día,Oral,Carcinoma urotelial localmente avanzado/metastásico con alteraciones FGFR,"Hiperfosfatemia, estomatitis, fatiga, diarrea, boca seca, onicólisis, disminución apetito, disgeusia, toxicidad ocular, síndrome mano-pie",Hipersensibilidad
Erdafitinib,Inhibidor Tirosina Quinasa,8 mg,Una vez al día,9 mg/día,Oral,Cáncer de vejiga,"Aftas bucales, hiperfosfatemia",Enfermedad hepática severa
Ergocalciferol,Vitamina D2,Deficiencia: Dosis altas semanales/mensuales; Mantenimiento: 800-1000 UI/día,"Diario, semanal o mensual según dosis",50000 UI,"Oral, IM","Deficiencia Vitamina D, Hipoparatiroidismo, Raquitismo, Osteomalacia","Hipercalcemia, hipercalciuria, náuseas, vómitos, estreñimiento, debilidad","Hipersensibilidad, hipercalcemia, evidencia toxicidad Vitamina D"
Ergocalciferol Cápsula,Vitamina D,"50,000 UI",Semanalmente,Sin máximo fijo,Oral,Deficiencia de Vitamina D,"Náuseas, hipercalcemia",Hipercalcemia
Ergoloide Mesilatos,Alcaloide Ergot,1-1.5 mg,Tres veces al día,9 mg/día,"Oral, Sublingual",Deterioro mental relacionado edad; Demencia senil leve/moderada,"Náuseas, molestias GI, visión borrosa, rash cutáneo, flushing, congestión nasal, bradicardia, hipotensión ortostática","Hipersensibilidad, psicosis aguda/crónica"
Ergoloides Mesilatos,Potenciador Cognitivo,1 mg,3 veces al día,9 mg/día,Oral,Demencia,"Náuseas, bradicardia",Hipersensibilidad
Eribulina Mesilato,Antimicrotúbulo,1.23 mg/m²,"IV días 1 y 8, cada 21 días",1.23 mg/m²,IV,Cáncer mama metastásico pretratado; Liposarcoma irresecable/metastásico pretratado,"Neutropenia, leucopenia, anemia, fatiga, alopecia, neuropatía periférica, náuseas, estreñimiento, artralgia/mialgia, cefalea, prolongación QT","Hipersensibilidad, embarazo, lactancia"
Eribulina Mesilato,Agente Antimicrotúbulos,1.4 mg/m²,Días 1 y 8 cada 21 días,Sin máximo fijo,IV,Cáncer de mama,"Neutropenia, fatiga",Hipersensibilidad
Eritromicina Estearato,Antibiótico,500 mg,Cada 6 horas,4000 mg/día,Oral,Infecciones bacterianas,"Náuseas, prolongación QT",Hipersensibilidad
Eritromicina Etilsuccinato,Antibiótico Macrólido,Adultos: 250-500 mg; Niños: 30-50 mg/kg/día,Cada 6-8 horas,4000 mg/día,Oral,"Infecciones respiratorias, piel, difteria, tos ferina, conjuntivitis neonatal Chlamydia, profilaxis fiebre reumática","Molestias GI, náuseas, vómitos, diarrea, dolor abdominal, prolongación QT, arritmias, hepatotoxicidad colestásica","Hipersensibilidad a macrólidos, uso concomitante astemizol/terfenadina/cisaprida/pimozida/ergotamínicos"
Eritromicina Lactobionato,Antibiótico,500 mg,Cada 6 horas,4000 mg/día,IV,Infecciones bacterianas,"Náuseas, prolongación QT",Hipersensibilidad
Eritromicina Oftálmica,Antibiótico Macrólido,Aplicar ungüento 0.5% o gotas,2-6 veces al día,Aplicación cada 1-4h,Oftálmico,Infecciones oculares superficiales; Profilaxis oftalmía neonatal,"Irritación ocular leve, hipersensibilidad",Hipersensibilidad a macrólidos
Eritropoyetina,Hormona Estimulante Eritropoyesis,Inicial: 50-150 UI/kg,Variable según tipo y pauta,Ajustar dosis según respuesta Hb,"IV, SC","Anemia asociada a ERC, Anemia en pacientes oncológicos con quimio","Hipertensión arterial, eventos trombóticos, cefalea, síntomas gripales, artralgia, rash, aplasia pura serie roja","Hipersensibilidad, HTA no controlada, aplasia pura serie roja post-tto ESA"
Erlotinib,Inhibidor Tirosina Kinasa,CPNM: 150 mg; C. Páncreas: 100 mg,1 vez/día,150 mg/día,Oral,CPNM avanzado/metastásico con mutaciones EGFR; Cáncer Páncreas metastásico,"Rash acneiforme, tos, estomatitis, conjuntivitis, queratitis, enfermedad pulmonar intersticial",Hipersensibilidad
Erlotinib Clorhidrato,Inhibidor Tirosina Quinasa,CPNM: 150 mg; C. Páncreas: 100 mg,Una vez al día en ayunas,150 mg/día,Oral,CPNM avanzado/metastásico con mutaciones EGFR; Cáncer Páncreas metastásico,"Rash acneiforme, diarrea, anorexia, fatiga, disnea, tos, náuseas, vómitos, estomatitis, conjuntivitis, EPI",Hipersensibilidad
Ertapenem,Antibiótico Carbapenem,1 g,Una vez al día,1 g/día,"IV, IM","Infecciones intraabdominales complicadas, piel/estructuras, ginecológicas agudas, ITU complicadas, NAC; Profilaxis cirugía colorrectal","Diarrea, náuseas, cefalea, flebitis/tromboflebitis, vaginitis, aumento transaminasas, convulsiones",Hipersensibilidad a ertapenem/carbapenems/beta-lactámicos
Ertapenem Sódico,Antibiótico,1g,Una vez al día,1 g/día,IV/IM,Infecciones bacterianas,"Náuseas, convulsiones",Hipersensibilidad
Ertugliflozina,Inhibidor SGLT2,Inicial: 5 mg; Puede ↑ a 15 mg,Una vez al día,15 mg/día,Oral,Diabetes Mellitus tipo 2,"Infecciones genitourinarias, depleción volumen, poliuria, cetoacidosis diabética","Hipersensibilidad, I.R. grave, diálisis"
Ertugliflozina,Inhibidor SGLT2,5 mg,Una vez al día,15 mg/día,Oral,Diabetes tipo 2,"ITU (Infección del Tracto Urinario), deshidratación",Insuficiencia renal severa
Escitalopram Oxalato,ISRS,10 mg,1 vez/día,20 mg/día,Oral,"Depresión mayor, Trastorno angustia, Ansiedad social, Ansiedad generalizada, TOC","Náuseas, boca seca, sudoración aumentada, disminución apetito/li2 veces/díao, insomnio/somnolencia, mareo, fatiga, prolongación QT","Hipersensibilidad, uso concomitante IMAO/pimozida, QT largo congénito"
Escitalopram Oxalato Tableta,ISRS,10 mg,Una vez al día,20 mg/día,Oral,"Depresión mayor, Trastorno angustia, Ansiedad social, Ansiedad generalizada, TOC","Náuseas, boca seca, sudoración aumentada, disminución apetito/li2 veces/díao, insomnio/somnolencia, mareo, fatiga, prolongación QT","Hipersensibilidad, uso concomitante IMAO/pimozida, QT largo congénito"
Esketamina,Antagonista NMDA,Inicial: 56 mg; Puede ↑ a 84 mg,"Dos veces por semana inicialmente, luego semanal o cada 2 semanas",84 mg/dosis,Nasal,Depresión resistente tratamiento; Síntomas depresivos agudos TDM con ideación suicida,"Disociación, mareo, náuseas, vértigo, somnolencia, aumento PA, ansiedad, sedación, hipoestesia","Hipersensibilidad, aneurisma/malformación AV, antecedentes hemorragia intracerebral, evento CV grave reciente"
Esketamina Nasal,Antagonista NMDA,56 mg o 84 mg,Dos veces por semana,84 mg/dosis,Nasal,Depresión,"Disociación, hipertensión",Riesgo de aneurisma
